station_global_id,station_name,station_name_en,line_ids,line_count,hub_score,centrality_score,composite_score,rarity,degree
ST_P51492_N00194,Earl's Court,Earl's Court,PIC|DIS|CIR,3,5.0,5.0,5.0,legendary,4
ST_P51507_N00122,Embankment,Embankment,NOR|DIS|CIR,3,5.0,5.0,5.0,legendary,4
ST_P51494_N00183,Gloucester Road,Gloucester Road,PIC|DIS|CIR,3,5.0,3.75,4.5,legendary,3
ST_P51494_N00174,South Kensington,South Kensington,PIC|DIS|CIR,3,5.0,3.75,4.5,legendary,3
ST_P51490_N00213,Baron's Court,Baron's Court,PIC|DIS|CIR,3,5.0,2.5,4.0,legendary,2
ST_P51493_N00224,Hammersmith,Hammersmith,PIC|DIS|CIR,3,5.0,2.5,4.0,legendary,2
ST_P51490_N00206,West Kensington,West Kensington,PIC|DIS|CIR,3,5.0,2.5,4.0,legendary,2
ST_P51517_N00120,Holborn,Holborn,CEN|PIC,2,2.5,5.0,3.5,legendary,4
ST_P51531_N00124,King's Cross St. Pancras,King's Cross St. Pancras,PIC|CIR,2,2.5,5.0,3.5,legendary,4
ST_P51511_N00128,Leicester Square,Leicester Square,NOR|PIC,2,2.5,5.0,3.5,legendary,4
ST_P51518_N00082,Liverpool Street,Liverpool Street,CEN|CIR,2,2.5,5.0,3.5,legendary,4
ST_P51525_N00033,Mile End,Mile End,CEN|DIS,2,2.5,5.0,3.5,legendary,4
ST_P51509_N00196,Notting Hill Gate,Notting Hill Gate,CEN|CIR,2,2.5,5.0,3.5,legendary,4
ST_P51516_N00130,Tottenham Court Road,Tottenham Court Road,CEN|NOR,2,2.5,5.0,3.5,legendary,4
ST_P51494_N00268,Chiswick Park,Chiswick Park,PIC|DIS,2,2.5,3.75,3.0,epic,3
ST_P51510_N00076,Tower Hill,Tower Hill,DIS|CIR,2,2.5,3.75,3.0,epic,3
ST_P51512_N00103,Blackfriars,Blackfriars,DIS|CIR,2,2.5,2.5,2.5,epic,2
ST_P51511_N00090,Cannon Street,Cannon Street,DIS|CIR,2,2.5,2.5,2.5,epic,2
ST_P51512_N00094,Mansion House,Mansion House,DIS|CIR,2,2.5,2.5,2.5,epic,2
ST_P51510_N00086,Monument,Monument,DIS|CIR,2,2.5,2.5,2.5,epic,2
ST_P51494_N00235,Ravenscourt Park,Ravenscourt Park,PIC|DIS,2,2.5,2.5,2.5,epic,2
ST_P51492_N00156,Sloane Square,Sloane Square,DIS|CIR,2,2.5,2.5,2.5,epic,2
ST_P51499_N00134,St. James's Park,St. James's Park,DIS|CIR,2,2.5,2.5,2.5,epic,2
ST_P51495_N00241,Stamford Brook,Stamford Brook,PIC|DIS,2,2.5,2.5,2.5,epic,2
ST_P51511_N00114,Temple,Temple,DIS|CIR,2,2.5,2.5,2.5,epic,2
ST_P51495_N00254,Turnham Green,Turnham Green,PIC|DIS,2,2.5,2.5,2.5,epic,2
ST_P51496_N00145,Victoria,Victoria,DIS|CIR,2,2.5,2.5,2.5,epic,2
ST_P51501_N00125,Westminster,Westminster,DIS|CIR,2,2.5,2.5,2.5,epic,2
ST_P51503_N00280,Acton Town,Acton Town,PIC,1,0.0,2.5,1.0,epic,2
ST_P51514_N00075,Aldgate,Aldgate,CIR,1,0.0,2.5,1.0,epic,2
ST_P51515_N00073,Aldgate East,Aldgate East,DIS,1,0.0,2.5,1.0,epic,2
ST_P51616_N00133,Arnos Grove,Arnos Grove,PIC,1,0.0,2.5,1.0,epic,2
ST_P51558_N00106,Arsenal,Arsenal,PIC,1,0.0,2.5,1.0,epic,2
ST_P51523_N00157,Baker Street,Baker Street,CIR,1,0.0,2.5,1.0,epic,2
ST_P51443_N00153,Balham,Balham,NOR,1,0.0,2.5,1.0,epic,2
ST_P51513_N00089,Bank,Bank,CEN,1,0.0,2.5,1.0,epic,2
ST_P51520_N00098,Barbican,Barbican,CIR,1,0.0,2.5,1.0,epic,2
ST_P51540_P00081,Barking,Barking,DIS,1,0.0,2.5,1.0,epic,2
ST_P51512_N00187,Bayswater,Bayswater,CIR,1,0.0,2.5,1.0,epic,2
ST_P51540_P00122,Becontree,Becontree,DIS,1,0.0,2.5,1.0,epic,2
ST_P51550_N00165,Belsize Park,Belsize Park,NOR,1,0.0,2.5,1.0,epic,2
ST_P51527_N00055,Bethnal Green,Bethnal Green,CEN,1,0.0,2.5,1.0,epic,2
ST_P51514_N00149,Bond Street,Bond Street,CEN,1,0.0,2.5,1.0,epic,2
ST_P51495_N00338,Boston Manor,Boston Manor,PIC,1,0.0,2.5,1.0,epic,2
ST_P51605_N00122,Bounds Green,Bounds Green,PIC,1,0.0,2.5,1.0,epic,2
ST_P51527_N00025,Bow Road,Bow Road,DIS,1,0.0,2.5,1.0,epic,2
ST_P51576_N00214,Brent Cross,Brent Cross,NOR,1,0.0,2.5,1.0,epic,2
ST_P51522_N00012,Bromley-by-Bow,Bromley-by-Bow,DIS,1,0.0,2.5,1.0,epic,2
ST_P51627_P00047,Buckhurst Hill,Buckhurst Hill,CEN,1,0.0,2.5,1.0,epic,2
ST_P51603_N00266,Burnt Oak,Burnt Oak,NOR,1,0.0,2.5,1.0,epic,2
ST_P51544_N00119,Caledonian Road,Caledonian Road,PIC,1,0.0,2.5,1.0,epic,2
ST_P51539_N00143,Camden Town,Camden Town,NOR,1,0.0,2.5,1.0,epic,2
ST_P51544_N00154,Chalk Farm,Chalk Farm,NOR,1,0.0,2.5,1.0,epic,2
ST_P51518_N00111,Chancery Lane,Chancery Lane,CEN,1,0.0,2.5,1.0,epic,2
ST_P51508_N00125,Charing Cross,Charing Cross,NOR,1,0.0,2.5,1.0,epic,2
ST_P51461_N00138,Clapham Common,Clapham Common,NOR,1,0.0,2.5,1.0,epic,2
ST_P51465_N00130,Clapham North,Clapham North,NOR,1,0.0,2.5,1.0,epic,2
ST_P51455_N00148,Clapham South,Clapham South,NOR,1,0.0,2.5,1.0,epic,2
ST_P51595_N00250,Colindale,Colindale,NOR,1,0.0,2.5,1.0,epic,2
ST_P51420_N00188,Colliers Wood,Colliers Wood,NOR,1,0.0,2.5,1.0,epic,2
ST_P51513_N00124,Covent Garden,Covent Garden,PIC,1,0.0,2.5,1.0,epic,2
ST_P51544_P00160,Dagenham East,Dagenham East,DIS,1,0.0,2.5,1.0,epic,2
ST_P51542_P00140,Dagenham Heathway,Dagenham Heathway,DIS,1,0.0,2.5,1.0,epic,2
ST_P51645_P00084,Debden,Debden,CEN,1,0.0,2.5,1.0,epic,2
ST_P51515_N00302,Ealing Broadway,Ealing Broadway,CEN,1,0.0,2.5,1.0,epic,2
ST_P51517_N00245,East Acton,East Acton,CEN,1,0.0,2.5,1.0,epic,2
ST_P51540_P00052,East Ham,East Ham,DIS,1,0.0,2.5,1.0,epic,2
ST_P51461_N00212,East Putney,East Putney,DIS,1,0.0,2.5,1.0,epic,2
ST_P51520_N00169,Edgware Road,Edgware Road,CIR,1,0.0,2.5,1.0,epic,2
ST_P51549_P00190,Elm Park,Elm Park,DIS,1,0.0,2.5,1.0,epic,2
