station_global_id,line_id,line_name,operator_name,line_station_code,order_on_line,is_transfer_station,is_terminal,adjacent_prev_station_id,adjacent_next_station_id
ST_P51569_N00436,CEN,Central line,Transport for London,CEN01,1,False,True,,ST_P51561_N00415
ST_P51561_N00415,CEN,Central line,Transport for London,CEN02,2,False,False,ST_P51569_N00436,ST_P51557_N00399
ST_P51557_N00399,CEN,Central line,Transport for London,CEN03,3,False,False,ST_P51561_N00415,ST_P51549_N00368
ST_P51549_N00368,CEN,Central line,Transport for London,CEN04,4,False,False,ST_P51557_N00399,ST_P51542_N00346
ST_P51542_N00346,CEN,Central line,Transport for London,CEN05,5,False,False,ST_P51549_N00368,ST_P51536_N00323
ST_P51536_N00323,CEN,Central line,Transport for London,CEN06,6,False,False,ST_P51542_N00346,ST_P51530_N00299
ST_P51530_N00299,CEN,Central line,Transport for London,CEN07,7,False,False,ST_P51536_N00323,ST_P51515_N00302
ST_P51515_N00302,CEN,Central line,Transport for London,CEN08,8,False,False,ST_P51530_N00299,ST_P51517_N00280
ST_P51517_N00280,CEN,Central line,Transport for London,CEN09,9,False,False,ST_P51515_N00302,ST_P51523_N00264
ST_P51523_N00264,CEN,Central line,Transport for London,CEN10,10,False,False,ST_P51517_N00280,ST_P51517_N00245
ST_P51517_N00245,CEN,Central line,Transport for London,CEN11,11,False,False,ST_P51523_N00264,ST_P51512_N00227
ST_P51512_N00227,CEN,Central line,Transport for London,CEN12,12,False,False,ST_P51517_N00245,ST_P51506_N00226
ST_P51506_N00226,CEN,Central line,Transport for London,CEN13,13,False,False,ST_P51512_N00227,ST_P51502_N00227
ST_P51502_N00227,CEN,Central line,Transport for London,CEN14,14,False,False,ST_P51506_N00226,ST_P51505_N00219
ST_P51505_N00219,CEN,Central line,Transport for London,CEN15,15,False,False,ST_P51502_N00227,ST_P51508_N00206
ST_P51508_N00206,CEN,Central line,Transport for London,CEN16,16,False,False,ST_P51505_N00219,ST_P51509_N00196
ST_P51509_N00196,CEN,Central line,Transport for London,CEN17,17,True,False,ST_P51508_N00206,ST_P51511_N00188
ST_P51511_N00188,CEN,Central line,Transport for London,CEN18,18,False,False,ST_P51509_N00196,ST_P51512_N00176
ST_P51512_N00176,CEN,Central line,Transport for London,CEN19,19,False,False,ST_P51511_N00188,ST_P51514_N00159
ST_P51514_N00159,CEN,Central line,Transport for London,CEN20,20,False,False,ST_P51512_N00176,ST_P51514_N00149
ST_P51514_N00149,CEN,Central line,Transport for London,CEN21,21,False,False,ST_P51514_N00159,ST_P51515_N00142
ST_P51515_N00142,CEN,Central line,Transport for London,CEN22,22,False,False,ST_P51514_N00149,ST_P51516_N00130
ST_P51516_N00130,CEN,Central line,Transport for London,CEN23,23,True,False,ST_P51515_N00142,ST_P51517_N00120
ST_P51517_N00120,CEN,Central line,Transport for London,CEN24,24,True,False,ST_P51516_N00130,ST_P51518_N00111
ST_P51518_N00111,CEN,Central line,Transport for London,CEN25,25,False,False,ST_P51517_N00120,ST_P51515_N00098
ST_P51515_N00098,CEN,Central line,Transport for London,CEN26,26,False,False,ST_P51518_N00111,ST_P51513_N00089
ST_P51513_N00089,CEN,Central line,Transport for London,CEN27,27,False,False,ST_P51515_N00098,ST_P51518_N00082
ST_P51518_N00082,CEN,Central line,Transport for London,CEN28,28,True,False,ST_P51513_N00089,ST_P51527_N00055
ST_P51527_N00055,CEN,Central line,Transport for London,CEN29,29,False,False,ST_P51518_N00082,ST_P51525_N00033
ST_P51525_N00033,CEN,Central line,Transport for London,CEN30,30,True,False,ST_P51527_N00055,ST_P51542_N00004
ST_P51542_N00004,CEN,Central line,Transport for London,CEN31,31,False,False,ST_P51525_N00033,ST_P51556_N00004
ST_P51556_N00004,CEN,Central line,Transport for London,CEN32,32,False,False,ST_P51542_N00004,ST_P51569_P00008
ST_P51569_P00008,CEN,Central line,Transport for London,CEN33,33,False,False,ST_P51556_N00004,ST_P51581_P00020
ST_P51581_P00020,CEN,Central line,Transport for London,CEN34,34,False,False,ST_P51569_P00008,ST_P51592_P00028
ST_P51592_P00028,CEN,Central line,Transport for London,CEN35,35,False,False,ST_P51581_P00020,ST_P51608_P00034
ST_P51608_P00034,CEN,Central line,Transport for London,CEN36,36,False,False,ST_P51592_P00028,ST_P51627_P00047
ST_P51627_P00047,CEN,Central line,Transport for London,CEN37,37,False,False,ST_P51608_P00034,ST_P51641_P00056
ST_P51641_P00056,CEN,Central line,Transport for London,CEN38,38,False,False,ST_P51627_P00047,ST_P51645_P00084
ST_P51645_P00084,CEN,Central line,Transport for London,CEN39,39,False,False,ST_P51641_P00056,ST_P51671_P00104
ST_P51671_P00104,CEN,Central line,Transport for London,CEN40,40,False,False,ST_P51645_P00084,ST_P51694_P00114
ST_P51694_P00114,CEN,Central line,Transport for London,CEN41,41,False,True,ST_P51671_P00104,
ST_P51613_N00276,NOR,Northern line,Transport for London,NOR01,1,False,True,,ST_P51603_N00266
ST_P51603_N00266,NOR,Northern line,Transport for London,NOR02,2,False,False,ST_P51613_N00276,ST_P51595_N00250
ST_P51595_N00250,NOR,Northern line,Transport for London,NOR03,3,False,False,ST_P51603_N00266,ST_P51583_N00227
ST_P51583_N00227,NOR,Northern line,Transport for London,NOR04,4,False,False,ST_P51595_N00250,ST_P51576_N00214
ST_P51576_N00214,NOR,Northern line,Transport for London,NOR05,5,False,False,ST_P51583_N00227,ST_P51572_N00194
ST_P51572_N00194,NOR,Northern line,Transport for London,NOR06,6,False,False,ST_P51576_N00214,ST_P51566_N00178
ST_P51566_N00178,NOR,Northern line,Transport for London,NOR07,7,False,False,ST_P51572_N00194,ST_P51550_N00165
ST_P51550_N00165,NOR,Northern line,Transport for London,NOR08,8,False,False,ST_P51566_N00178,ST_P51544_N00154
ST_P51544_N00154,NOR,Northern line,Transport for London,NOR09,9,False,False,ST_P51550_N00165,ST_P51539_N00143
ST_P51539_N00143,NOR,Northern line,Transport for London,NOR10,10,False,False,ST_P51544_N00154,ST_P51534_N00139
ST_P51534_N00139,NOR,Northern line,Transport for London,NOR11,11,False,False,ST_P51539_N00143,ST_P51528_N00134
ST_P51528_N00134,NOR,Northern line,Transport for London,NOR12,12,False,False,ST_P51534_N00139,ST_P51524_N00139
ST_P51524_N00139,NOR,Northern line,Transport for London,NOR13,13,False,False,ST_P51528_N00134,ST_P51520_N00135
ST_P51520_N00135,NOR,Northern line,Transport for London,NOR14,14,False,False,ST_P51524_N00139,ST_P51516_N00130
ST_P51516_N00130,NOR,Northern line,Transport for London,NOR15,15,True,False,ST_P51520_N00135,ST_P51511_N00128
ST_P51511_N00128,NOR,Northern line,Transport for London,NOR16,16,True,False,ST_P51516_N00130,ST_P51508_N00125
ST_P51508_N00125,NOR,Northern line,Transport for London,NOR17,17,False,False,ST_P51511_N00128,ST_P51507_N00122
ST_P51507_N00122,NOR,Northern line,Transport for London,NOR18,18,True,False,ST_P51508_N00125,ST_P51504_N00114
