station_global_id,line_id,order_in_line
nyc_0146,L1,1
nyc_0033,L1,2
nyc_0032,L1,3
nyc_0125,L1,4
nyc_0031,L1,5
nyc_0030,L1,6
nyc_0103,L1,7
nyc_0029,L1,8
nyc_0025,L1,9
nyc_0021,L1,10
nyc_0017,L1,11
nyc_0012,L1,12
nyc_0010,L1,13
nyc_0007,L1,14
nyc_0005,L1,15
nyc_0094,L1,16
nyc_0001,L1,17
nyc_0080,L1,18
nyc_0075,L1,19
nyc_0071,L1,20
nyc_0068,L1,21
nyc_0065,L1,22
nyc_0060,L1,23
nyc_0054,L1,24
nyc_0144,L1,25
nyc_0044,L1,26
nyc_0037,L1,27
nyc_0034,L1,28
nyc_0027,L1,29
nyc_0014,L1,30
nyc_0096,L1,31
nyc_0113,L1,32
nyc_0092,L1,33
nyc_0108,L1,34
nyc_0095,L1,35
nyc_0098,L1,36
nyc_0137,L1,37
nyc_0141,L1,38
nyc_0152,L4,1
nyc_0127,L4,2
nyc_0130,L4,3
nyc_0086,L4,4
nyc_0121,L4,5
nyc_0106,L4,6
nyc_0026,L4,7
nyc_0024,L4,8
nyc_0022,L4,9
nyc_0020,L4,10
nyc_0018,L4,11
nyc_0013,L4,12
nyc_0011,L4,13
nyc_0008,L4,14
nyc_0006,L4,15
nyc_0003,L4,16
nyc_0002,L4,17
nyc_0081,L4,18
nyc_0076,L4,19
nyc_0070,L4,20
nyc_0066,L4,21
nyc_0061,L4,22
nyc_0055,L4,23
nyc_0110,L4,24
nyc_0040,L4,25
nyc_0038,L4,26
nyc_0035,L4,27
nyc_0015,L4,28
nyc_0091,L4,29
nyc_0109,L4,30
nyc_0150,L4,31
nyc_0088,L4,32
nyc_0087,L4,33
nyc_0128,L4,34
nyc_0084,L4,35
nyc_0107,L4,36
nyc_0101,L4,37
nyc_0143,L4,38
nyc_0139,L4,39
nyc_0138,L4,40
nyc_0120,L4,41
nyc_0132,L4,42
nyc_0147,L4,43
nyc_0129,L4,44
nyc_0116,LA,1
nyc_0030,LA,2
nyc_0028,LA,3
nyc_0025,LA,4
nyc_0023,LA,5
nyc_0021,LA,6
nyc_0019,LA,7
nyc_0016,LA,8
nyc_0012,LA,9
nyc_0009,LA,10
nyc_0007,LA,11
nyc_0005,LA,12
nyc_0094,LA,13
nyc_0001,LA,14
nyc_0080,LA,15
nyc_0075,LA,16
nyc_0073,LA,17
nyc_0068,LA,18
nyc_0060,LA,19
nyc_0054,LA,20
nyc_0049,LA,21
nyc_0043,LA,22
nyc_0034,LA,23
nyc_0014,LA,24
nyc_0149,LA,25
nyc_0142,LA,26
nyc_0092,LA,27
nyc_0095,LA,28
nyc_0109,LA,29
nyc_0112,LA,30
nyc_0118,LA,31
nyc_0114,LA,32
nyc_0131,LA,33
nyc_0122,LA,34
nyc_0136,LA,35
nyc_0138,LA,36
nyc_0090,LA,37
nyc_0124,LA,38
nyc_0147,LA,39
nyc_0140,LA,40
nyc_0104,LA,41
nyc_0111,LA,42
nyc_0072,LA,43
nyc_0077,LA,44
nyc_0123,LA,45
nyc_0083,LN,1
nyc_0082,LN,2
nyc_0039,LN,3
nyc_0089,LN,4
nyc_0045,LN,5
nyc_0047,LN,6
nyc_0135,LN,7
nyc_0061,LN,8
nyc_0063,LN,9
nyc_0058,LN,10
nyc_0052,LN,11
nyc_0144,LN,12
nyc_0042,LN,13
nyc_0037,LN,14
nyc_0034,LN,15
nyc_0015,LN,16
nyc_0078,LN,17
nyc_0133,LN,18
nyc_0093,LN,19
nyc_0097,LN,20
nyc_0098,LN,21
nyc_0137,LN,22
nyc_0151,LN,23
nyc_0100,LN,24
nyc_0102,LN,25
nyc_0084,LN,26
nyc_0145,LN,27
nyc_0053,LN,28
nyc_0134,LN,29
nyc_0036,LN,30
nyc_0046,LN,31
nyc_0050,LN,32
nyc_0057,LN,33
nyc_0059,LN,34
nyc_0085,LN,35
nyc_0105,L7,1
nyc_0126,L7,2
nyc_0004,L7,3
nyc_0119,L7,4
nyc_0117,L7,5
nyc_0079,L7,6
nyc_0074,L7,7
nyc_0069,L7,8
nyc_0067,L7,9
nyc_0064,L7,10
nyc_0056,L7,11
nyc_0051,L7,12
nyc_0048,L7,13
nyc_0041,L7,14
nyc_0135,L7,15
nyc_0099,L7,16
nyc_0115,L7,17
nyc_0148,L7,18
nyc_0110,L7,19
nyc_0062,L7,20
nyc_0144,L7,21
nyc_0043,L7,22
