rank,station_global_id,station_name,station_slug,degree,line_count,hub_score,betweenness,score_total
1,ST_34646_135513,天王寺,tennoji,6,3,3,0.731784,22.3178
2,ST_34682_135500,本町,honmachi,4,2,2,0.425846,14.2585
3,ST_34657_135498,大国町,daikoku-cho,3,2,2,0.522949,14.2295
4,ST_34666_135501,なんば,namba,3,2,2,0.441624,13.4162
5,ST_34707_135496,中津,nakatsu,3,2,2,0.371486,12.7149
6,ST_34618_135518,長居,nagai,4,2,2,0.219736,12.1974
7,ST_34703_135498,梅田,umeda,2,2,2,0.367183,11.6718
8,ST_34652_135506,動物園前,dobutsuen-mae,2,1,1,0.487665,9.8766
9,ST_34694_135501,淀屋橋,yodoyabashi,2,1,1,0.379518,8.7952
10,ST_34653_135518,四天王寺前夕陽ヶ丘,shitennoji-mae-yuhigaoka,2,1,1,0.296902,7.969
11,ST_34662_135518,谷町九丁目,tanimachi-9-chome,2,1,1,0.281124,7.8112
12,ST_34723_135473,十三,juso,2,1,1,0.281124,7.8112
13,ST_34672_135518,谷町六丁目,tanimachi-6-chome,2,1,1,0.264773,7.6477
14,ST_34733_135483,崇禅寺,sozenji,2,1,1,0.264773,7.6477
15,ST_34682_135518,谷町四丁目,tanimachi-4-chome,2,1,1,0.247849,7.4785
16,ST_34742_135488,淡路,awaji,2,1,1,0.247849,7.4785
17,ST_34688_135518,天満橋,temmabashi,2,1,1,0.23035,7.3035
18,ST_34750_135503,上新庄,kamishinjyo,2,1,1,0.23035,7.3035
19,ST_34693_135508,南森町,minami-morimachi,2,1,1,0.212278,7.1228
20,ST_34753_135518,相川,aikawa,2,1,1,0.212278,7.1228
21,ST_34675_135501,心斎橋,shinsaibashi,2,1,1,0.207975,7.0797
22,ST_34673_135497,四ツ橋,yotsubashi,2,1,1,0.207975,7.0797
23,ST_34702_135503,東梅田,higashi-umeda,2,1,1,0.193632,6.9363
24,ST_34757_135533,正雀,shojaku,2,1,1,0.193632,6.9363
25,ST_34707_135508,中崎町,nakazaki-cho,2,1,1,0.174412,6.7441
26,ST_34768_135547,摂津市,settsu-shi,2,1,1,0.174412,6.7441
27,ST_34647_135502,新今宮,shin-imamiya,2,1,1,0.16179,6.6179
28,ST_34653_135527,寺田町,teradacho,2,1,1,0.16179,6.6179
29,ST_34702_135513,天神橋筋六丁目,tenjinbashisuji-6-chome,2,1,1,0.154618,6.5462
30,ST_34782_135562,南茨木,minami-ibaraki,2,1,1,0.154618,6.5462
31,ST_34648_135493,今宮,imamiya,2,1,1,0.142857,6.4286
32,ST_34662_135537,桃谷,momotani,2,1,1,0.142857,6.4286
